pokelatin,translation,comment,game,added_date
GAFAZ BEWCVE,GALAR LEAGUE,Stadium outside sign,SwSh,2025-09-29
BXSDALT ACQRAI SVEJC FEMREsH,,Stadium outside sign,SwSh,2025-09-29
CQLMQO RFDETX,,Stadium inside map,SwSh,2025-09-29
WKDAXJPYKMR,,Stadium inside map,SwSh,2025-09-29
jqqoc,,Stadium inside map,SwSh,2025-09-29
TZRPYKM,,Stadium inside map,SwSh,2025-09-29
OFsV,,Stadium inside map,SwSh,2025-09-29
DAXJPY,,Stadium inside map,SwSh,2025-09-29
MRXJPY,,Stadium inside map,SwSh,2025-09-29
OFsVTKMR,,Stadium inside map,SwSh,2025-09-29
AXJPYI,,Stadium inside map,SwSh,2025-09-29
BSCOFsVT,,Stadium inside map,SwSh,2025-09-29
QLEDAH,,Stadium inside map,SwSh,2025-09-29
BSCOF,,Stadium inside map,SwSh,2025-09-29
QLEDAXJ,,Stadium inside map,SwSh,2025-09-29
QLEDAHV,,Stadium inside map,SwSh,2025-09-29
ZWKMRBSC,,Stadium inside map,SwSh,2025-09-29
WKDAXJPY,,Stadium inside map,SwSh,2025-09-29
HVTZW,,Stadium inside map,SwSh,2025-09-29
sHVTZ,,Stadium inside map,SwSh,2025-09-29
(CV)W(t)r,,Plant? Battle field signs,SwSh,2025-09-29
Fgotj fca(e/s/c)o,,Plant? Battle field signs,SwSh,2025-09-29
VJDL QITH,,Plant? Battle field signs,SwSh,2025-09-29
ACT BCX,,Ball Guy sign in stadium,SwSh,2025-09-29
GYCB,,Disc stand in Motostoke,SwSh,2025-09-29
SYC( ),,Disc stand in Motostoke,SwSh,2025-09-29
AISVE,,Disc stand door in Motostoke,SwSh,2025-09-29
KLJRS KMRB3C89DAXJ,,"This bit of text appears underneath all town signs. Specifically, the first line is just beneath the town’s name, while the second line is in the curve at the bottom.",SwSh,2025-05-18
WLSR,,Furlong Town (ハロン Haron) POSTWICK,SwSh,2025-05-18
MOEDDK,,Brassie Town (ブラッシー Burasshī) … the two D might count for the two “S”s. WEDGEHURST,SwSh,2025-05-18
VJDL,TURF,Turf Town (ターフ Tāfu)… TURFFIELD,SwSh,2025-05-18
IWA,BOW,Bow Town (バウ Bau) HULBURY,SwSh,2025-05-18
CQKMQO,ENGINE,Engine City (エンジン Enjin) … the two Q are in the same place as the “N”s would be in the English Word “engine”. MOTOSTOKE,SwSh,2025-05-18
XDEBWLA,,Knuckle City (ナックル Nakkuru) HAMMERLOCKE,SwSh,2025-05-18
YRHBQC,,Lateral Town (ラテラル Rateraru) STOW-ON-SIDE,SwSh,2025-05-18
FKEMA,,Arabesque Town (アラベスク Arabesuku) BALLONLEA,SwSh,2025-05-18
COXYQR,,Circus Town (キルクス Kirukusu) … “Kirkus”? CIRCHESTER,SwSh,2025-05-18
ISTFKZ,,Spike Town (スパイク Supaiku) SPIKEMUTH,SwSh,2025-05-18
ISTFKZ VMDA,,SPIKEMUTH GATE,SwSh,2025-05-18
PWRwNWT,POKeMON,"The game was a bit inconsistant on whether the center letter was either a p or an w, but it appears that it was later shown more consistantly to be a w. Curiously, in later games “Pokémon” is PQRwNQT instead.",SwSh,2025-05-18
AEWTTZY,,WYNDON,SwSh,2025-05-18
RQSO,ROSE,Clearly is “ROSE”,SwSh,2025-05-18
DWVDB,DANDE,"From his Japanese name, ダンデ DANDE",,
FZQQAI,YARROW,From “Yarrow” MILO,SwSh,2025-05-18
JVJC,RURI,"NESSA Although her Galarian name is only four-characters, which matches neither or English name “NESSA” or Japanese name “Rurina”, it’s more than likely it’s just the first four letters in her romaji name, “RURI”. Alternatively, it might be that NESSA had a “prototype” Japanese name which was only four romaji characters long, which her Galarian name was based on, but then it was later changed to “Rurina”, only to forget to change her Galarian name likewise.",SwSh,2025-05-18
RVDS,KABU,Can only be “KABU”.,SwSh,2025-05-18
WSTWS,ONION,"From his Japanese name, “ONION”. Couldn’t be any more obvious.",SwSh,2025-05-18
SVLZJ,SAITO,"From her Japanese name, サイトウ SAITO",SwSh,2025-05-18
MsMLWQ,POPLAR,"From her Japanese name, ポプラ POPLAR",SwSh,2025-05-18
